"Blackeye peasÂ—Average retail price per pound and per cup equivalent, 2016",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Form,Average retail price ,,Preparation,Size of a ,,Average price
,,,yield factor,cup equivalent ,,per cup equivalent
Canned1,$0.93, per pound,0.65,0.375,pounds,$0.54
Dried2,$1.61, per pound,2.61,0.386,pounds,$0.24
"1The liquid contents of the can are discarded prior to consumption. Based on the Food Patterns Equivalents Database (FPED), ERS assumes that 65 percent of the can's gross weight is solid and 35 percent is liquid medium. The FPED cup equivalent weight for canned blackeye peas is the weight of the solids and not of the liquid medium in which the legume is packed. The preparation yield factor for canned blackeye peas in the above table does not account for any further preparation that occurs prior to consumption.",,,,,,
,,,,,,
"2Dried blackeye peas must be cooked prior to consumption. The USDA Food and Nutrient Database for Dietary Studies (FNDDS) reports that cooking one ounce of dry blackeye peas yields 74 grams of cooked legume, indicating a preparation yield of about 261 percent.",,,,,,
,,,,,,
"Source: Calculated by USDA, Economci Research Service, from 2016 IRI Infoscan data; the USDA Food and Nutrient Database for Dietary Studies (FNDDS), 5.0; and the Food Patterns Equivalents Database (FPED) 2013-14 as well as the FPED's accompanying Methodology and User Guide.",,,,,,
,,,,,,
,,,,,,
,,, ,,,
