"Green beansÂ—Average retail price per pound and per cup equivalent, 2016",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Form,Average retail price ,,Preparation,Size of a ,,Average price
,,,yield factor,cup equivalent ,,per cup equivalent
Fresh1,$2.13, per pound,0.847,0.276,pounds,$0.69
Canned2,$0.82, per pound,0.65,0.298,pounds,$0.38
Frozen3,$1.70, per pound,0.903,0.298,pounds,$0.56
"1It is assumed that fresh green beans are cooked prior to consumption. The USDA Food and Nutrient Database for Dietary Studies (FNDDS) reports that cooking one ounce of raw green beans yields 24 grams of cooked vegetable, indicating a preparation yield of about 84.7 percent. ",,,,,,
,,,,,,
"2The liquid contents of the can are discarded prior to consumption. Based on the Food Patterns Equivalents Database (FPED), ERS further assumes that 65 percent of the can's gross weight is solid and 35 percent is liquid medium. The FPED cup equivalent weight for canned green beans is the weight of the solids and not of the liquid medium in which the vegetable is packed. The preparation yield factor for canned green beans in the above table does not account for any further preparation that occurs prior to consumption.",,,,,,
,,,,,,
"3ERS assumes that consumers cook frozen green beans. The FNDDS reports that cooking ten ounces of frozen green beans yields 256 grams of cooked vegetable, indicating a preparation yield of about 90.3 percent.",,,,,,
,,,,,,
"Source: Calculated by USDA, Economic Research Service, from 2016 IRI Infoscan data; the USDA Food and Nutrient Database for Dietary Studies (FNDDS), 5.0; and the Food Patterns Equivalents Database (FPED) 2013-14 as well as the FPED's accompanying Methodology and User Guide.",,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,, ,
