"Kidney beansÂ—Average retail price per pound and per cup equivalent, 2016",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Form,Average retail price ,,Preparation,Size of a ,,Average price
,,,yield factor,cup equivalent ,,per cup equivalent
Canned1,$0.86, per pound,0.65,0.386,pounds,$0.51
Dried2,$1.69, per pound,2.399,0.386,pounds,$0.27
"1Includes red kidney beans. Excludes white and other varieties. The liquid contents of the can are discarded prior to consumption. Based on the Food Patterns Equivalents Database (FPED), ERS assumes that 65 percent of the can's gross weight is solid and 35 percent is liquid medium. The FPED cup equivalent weight for canned kidney beans is the weight of the solids and not of the liquid medium in which the legume is packed. The preparation yield factor for canned kidney beans in the above table does not account for any further preparation that occurs prior to consumption. ",,,,,,
,,,,,,
"2Includes red kidney beans. Excludes white and other varieties. Dried beans must be cooked prior to consumption. The USDA Food and Nutrient Database for Dietary Studies (FNDDS) reports that cooking one ounce of dry kidney beans yields 68 grams of cooked kidney beans, indicating a preparation yield of about 239.9 percent.",,,,,,
,,,,,,
"Source: Calculated by USDA, Economic Research Service, from 2016 IRI Infoscan data; the USDA Food and Nutrient Database for Dietary Studies (FNDDS), 5.0; and the Food Patterns Equivalents Database (FPED) 2013-14 as well as the FPED's accompanying Methodology and User Guide.",,,,,,
