"SpinachÂ—Average retail price per pound and per cup equivalent, 2016",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Form,Average retail price ,,Preparation,Size of a ,,Average price
,,,yield factor,cup equivalent ,,per cup equivalent
Fresh1,,,,,,
Boiled,$3.83, per pound,0.77,0.331,pounds,$1.64
Raw,$3.83, per pound,1,0.154,pounds,$0.59
Canned2,$1.13, per pound,0.65,0.375,pounds,$0.65
Frozen3,$1.76, per pound,0.776,0.375,pounds,$0.85
"1Includes regular and baby spinach packaged in a bag, clamshell, or similar container. It is assumed that all refuse has been removed prior to purchase. It is also assumed that this spinach may be eaten raw or after boiling. Agriculture Handbook No.102 reports a preparation yield of 77 percent for boiling trimmed, raw spinach.",,,,,,
,,,,,,
"2The liquid contents of the can are discarded prior to consumption. Based on the Food Patterns Equivalents Database (FPED), ERS assumes that 65 percent of the can's gross weight is solid and 35 percent is liquid medium. The FPED cup equivalent weight for canned spinach is the weight of the solids and not of the liquid medium in which the vegetable is packed. The preparation yield factor for canned spinach in the above table does not account for any further preparation that occurs prior to consumption.",,,,,,
 ,,,,,,
"3It is assumed that frozen spinach is cooked prior to consumption. The USDA Food and Nutrient Database for Dietary Studies (FNDDS) reports that cooking a ten-ounce package of frozen spinach yields 220 grams of cooked vegetable, indicating a preparation yield of about 77.6 percent.",,,,,,
,,,,,,
"Source: Calculated by USDA, Economic Research Service, from 2016 IRI Infoscan data; the USDA Food and Nutrient Database for Dietary Studies (FNDDS), 5.0; Agriculture Handbook No.102, Food Yields Summarized by Different Stages of Preparation, 1975 (AH102); and the Food Patterns Equivalents Database (FPED) 2013-14 as well as the FPED's accompanying Methodology and User Guide.",,,,,,
