"Turnip greensÂ—Average retail price per pound and per cup equivalent, 2016",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Form,Average retail price ,,Preparation,Size of a ,,Average price
,,,yield factor,cup equivalent ,,per cup equivalent
Fresh1,$2.51, per pound,0.75,0.320,pounds,$1.07
Canned2,$0.78, per pound,0.65,0.353,pounds,$0.43
Frozen3,$1.58, per pound,0.776,0.353,pounds,$0.72
"1Includes packaged, fresh-cut (e.g., cut or chopped) turnip greens. It is assumed that these turnip greens are boiled prior to consumption. Agriculture Handbook No.102 reports a preparation yield of 75 percent for boiling raw, trimmed turnip greens until very tender. ",,,,,,
,,,,,,
"2The liquid contents of the can are discarded prior to consumption. Based on the Food Patterns Equivalents Database (FPED), ERS assumes that 65 percent of the can's gross weight is solid and 35 percent is liquid medium. The FPED cup equivalent weight for canned turnip greens is the weight of the solids and not of the liquid medium in which the vegetable is packed. The preparation yield factor for canned turnip greens in the above table does not account for any further preparation that occurs prior to consumption.",,,,,,
,,,,,,
"3It is assumed that frozen turnip greens are cooked prior to consumption. The USDA Food and Nutrient Database for Dietary Studies (FNDDS) reports that cooking a ten-ounce package of frozen turnip greens yields 220 grams of cooked vegetable, indicating a preparation yield of about 77.6 percent. ",,,,,,
,,,,,,
"Source: Calculated by USDA, Economic Research Service, from 2016 IRI Infoscan data; the USDA Food and Nutrient Database for Dietary Studies (FNDDS), 5.0; Agriculture Handbook No.102, Food Yields Summarized by Different Stages of Preparation, 1975 (AH102); and the Food Patterns Equivalents Database (FPED) 2013-14 as well as the FPED's accompanying Methodology and User Guide.",,,,,,
